PROVEEDOR,NUMERODELICITACION,TIPODECOMPRA,NUMERO DE CONTRATO,CODIGOSSA,CLAVEARTICULO,NOMBREMEDICAMENTO,UNIDADDEMEDIDA,MARCA,LABORATORIO,PRECIOUNITARIOCONDESCUENTO,SURTIDO
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2077,SUBROGADA,HGMGG-LPN-01-2077,010.000.4055.00 (dextrosa),02-01-0051,"BUPIVACAINA, CLORHIDRATO DE, 150 MG/30 ML",FRASCO ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$54.42,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2078,SUBROGADA,HGMGG-LPN-01-2078,040.000.2100.00/040.000.2100.01  (10 Y 20),02-02-0068,"BUPRENORFINA, 0.2 MG",TABLETA,,"LABORATORIOS PISA, S.A. DE C.V.",$28.38,30
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2079,SUBROGADA,HGMGG-LPN-01-2079,040.000.4026.00  (6),02-02-0067,"BUPRENORFINA, 0.3 MG/ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$35.49,2684
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2080,SUBROGADA,HGMGG-LPN-01-2080,010.000.5462.00,,"BUSERELINA, 9.45 MG",IMPLANTE,,SUPREFACT DEPOT,"$7,176.89",0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2081,SUBROGADA,HGMGG-LPN-01-2081,010.000.1207.00  (3),02-01-0052,"BUTILHIOSCINA, 20 MG/ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$5.43,4822
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2082,SUBROGADA,HGMGG-LPN-01-2082,FCB,02-01-0734,"BUTILHIOSCINA, 40 MG/ML",ÁMPULA,,"SANOFI AVENTIS WINTHROP, S.A. DE C.V.",$91.67,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2083,SUBROGADA,HGMGG-LPN-01-2083,"010.000.6083.00
010.000.6083.01",02-01-0850,"CAFEÍNA, CITRATO DE, 20 MG/ML",FRASCO ÁMPULA,,PEYONA,$615.18,530
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2084,SUBROGADA,HGMGG-LPN-01-2084,010.000.1006.00,02-01-0381,"CALCIO, 500 MG ",COMPRIMIDO EFERVESCENTE,,"LABORATORIOS PISA, S.A. DE C.V.",$2.48,1658
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2085,SUBROGADA,HGMGG-LPN-01-2085,010.000.0574.00  (30),02-01-0058,"CAPTOPRIL, 25 MG",TABLETA,,"INDUSTRIAS QUIMICO FARMACEUTICAS AMERICANAS, S.A. DE C.V.",$0.12,4242
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2086,SUBROGADA,HGMGG-LPN-01-2086,040.000.2608.00  (20),02-01-0055,"CARBAMAZEPINA, 200 MG",TABLETA,,"PSICOFARMA, S.A. DE C.V.",$1.83,85
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2087,SUBROGADA,HGMGG-LPN-01-2087,010.000.2242.00,02-03-0032,"CARBON ACTIVADO, 1 K  ",BOLSA,,"DISTRIBUIDORA MEXICANA DE BIOLOGICOS, S.A. DE C.V.","$5,111.47",2
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2088,SUBROGADA,HGMGG-LPN-01-2088,FCB,02-01-0803,CARBOXIMETILCELULOSA 5%,FRASCO GOTERO,,"ALLERGAN, S.A. DE C.V.",$666.60,21
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2089,SUBROGADA,HGMGG-LPN-01-2089,010.000.5313.00,02-01-0775,"CASPOFUNGINA, 50 MG ",FRASCO ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.","$1,166.67",245
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2090,SUBROGADA,HGMGG-LPN-01-2090,010.000.1939.00  (20),02-01-0060,"CEFALEXINA  MONOHIDRATADA,  500 MG",TABLETA,,"LABORATORIOS PISA, S.A. DE C.V.",$1.86,594
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2091,SUBROGADA,HGMGG-LPN-01-2091,FCB,02-01-0548,"CEFALEXINA, 250 MG/100 ML",FRASCO,,"LABORATORIOS PISA, S.A. DE C.V.",$30.75,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2092,SUBROGADA,HGMGG-LPN-01-2092,010.000.5256.00,02-01-0062,"CEFALOTINA SODICA, 1 G",FRASCO ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$24.71,6811
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2093,SUBROGADA,HGMGG-LPN-01-2093,010.000.5295.01,02-01-0587,"CEFEPIME,  1 G",FRASCO ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$50.64,1092
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2094,SUBROGADA,HGMGG-LPN-01-2094,010.000.1935.00,02-01-0383,"CEFOTAXIMA, 1 G",FRASCO ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$19.51,663
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2095,SUBROGADA,HGMGG-LPN-01-2095,010.000.1937.00,02-01-0793,"CEFTAROLINA FOSAMILO, 600 MG",FRASCO ÁMPULA,,"PFIZER, S.A. DE C.V.","$1,551.02",66
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2096,SUBROGADA,HGMGG-LPN-01-2096,010.000.4254.00,02-01-0065,"CEFTAZIDIMA  PENTAHIDRATADA, 1 G ",FRASCO ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$23.37,2282
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2097,SUBROGADA,HGMGG-LPN-01-2097,FCB,02-01-0067,"CEFTRIAXONA ,  500 MG",FRASCO ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$82.38,12702
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2098,SUBROGADA,HGMGG-LPN-01-2098,"010.000.5264.00/010.000.5264.01/010.000.5264.02  (3, 5 O 10 ML)",02-01-0657,"CEFTRIAXONA, 1 G",FRASCO ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$13.99,67
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2099,SUBROGADA,HGMGG-LPN-01-2099,"010.000.5264.00
010.000.5264.01
010.000.5264.02",02-01-0384,"CEFUROXIMA, 750 MG",FRASCO ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$33.81,219
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2100,SUBROGADA,HGMGG-LPN-01-2100,010.000.1752.00 (5),02-01-0688,"CICLOFOSFAMIDA, 20 MG",FRASCO ÁMPULA,,HIDROFOSMIN,$215.40,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2101,SUBROGADA,HGMGG-LPN-01-2101,010.000.1752.00,02-07-0004,"CICLOFOSFAMIDA, 200 MG",FRASCO ÁMPULA,,HIDROFOSMIN,$41.00,51
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2102,SUBROGADA,HGMGG-LPN-01-2102,010.000.4294.00,02-01-0804,CICLOSPORINA 0.05%,FRASCO GOTERO,,RESTASIS,$613.33,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2103,SUBROGADA,HGMGG-LPN-01-2103,010.000.4259.00,02-01-0508,"CIPROFLOXACINO, 200 MG/100 ML",FRASCO ÁMPULA,,,,92
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2104,SUBROGADA,HGMGG-LPN-01-2104,010.000.4255.00,,"CIPROFLOXACINO, 250 MG",TABLETA,,PROFLUXOL,$13.20,52
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2105,SUBROGADA,HGMGG-LPN-01-2105,FCB,02-01-0805,"CIPROFLOXACINO, 3 MG/ML",FRASCO GOTERO,,SOPHIXIN OFTENO,$28.75,10
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2106,SUBROGADA,HGMGG-LPN-01-2106,FCB,02-01-0840,"CIPROFLOXACINO, 500 MG",CÁPSULA,,"LABORATORIOS PISA, S.A. DE C.V.",$5.75,119
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2107,SUBROGADA,HGMGG-LPN-01-2107,"100,004,061",02-01-0602,"CISATRACURIO, BESILATO DE,  2MG/ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$108.46,872
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2108,SUBROGADA,HGMGG-LPN-01-2108,FCB,02-01-0722,CLARITROMICINA 500 MG/10 ML,FRASCO ÁMPULA,,KLARICID I.V.,$645.77,1465
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2109,SUBROGADA,HGMGG-LPN-01-2109,FCB,02-01-0843,"CLARITROMICINA, 250 MG/5 ML ",FRASCO,,KROBICIN,$330.54,36
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2110,SUBROGADA,HGMGG-LPN-01-2110,FF DIFERENTE AL CBMSS 250 MG (010.000.2132.00),02-01-0076,"CLINDAMICINA, 300 MG/2 ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$5.27,615
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2111,SUBROGADA,HGMGG-LPN-01-2111,FCB,02-01-0577,"CLINDAMICINA, 600 MG/4 ML",ÁMPULA,,CLINAMSA,$14.33,299
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2112,SUBROGADA,HGMGG-LPN-01-2112,040.000.2613.00 ,02-02-0079,"CLONAZEPAM, 2.5 MG/ML",FRASCO GOTERO,,"LABORATORIOS PISA, S.A. DE C.V.",$42.37,15
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2113,SUBROGADA,HGMGG-LPN-01-2113,040.000.2612.00 (30),02-02-0031,"CLONAZEPAN, 2 MG",COMPRIMIDO,,"LABORATORIOS PISA, S.A. DE C.V.",$2.14,96
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2114,SUBROGADA,HGMGG-LPN-01-2114,010.000.2101.00  (30),02-01-0589,CLONIDINA 150 MCG/ML,ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$34.61,122
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2115,SUBROGADA,HGMGG-LPN-01-2115,FCB,02-01-0520,CLONIDINA DE 0.100 MG  (100 MCG),COMPRIMIDO,,BOMATH,$5.82,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2116,SUBROGADA,HGMGG-LPN-01-2116,010.000.4028.00 (5),02-01-0699,"CLONIXINATO DE LISINA, 100 MG/2 ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$4.35,2048
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2117,SUBROGADA,HGMGG-LPN-01-2117,FF DIFERENTE AL CBMSS 250 MG (010.000.2132.00),02-01-0550,"CLONIXINATO DE LISINA, 125  MG",TABLETA,,"FARMACEUTICOS RAYERE, S.A.",$6.13,558
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2118,SUBROGADA,HGMGG-LPN-01-2118,010.000.4246.00/010.000.4246.00  (14 Y 28),02-01-0698,"CLOPIDOGREL, 75 MG",COMPRIMIDO,,"LABORATORIOS PISA, S.A. DE C.V.",$2.43,463
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2119,SUBROGADA,HGMGG-LPN-01-2119,010.000.2821.00,02-01-0083,"CLORANFENICOL LEVOGIRO, 5 MG/ML",FRASCO GOTERO,,"LABORATORIOS PISA, S.A. DE C.V.",$40.62,92
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2120,SUBROGADA,HGMGG-LPN-01-2120,010.000.1992.00,02-01-0081,"CLORANFENICOL SUCCINATO SODICO, 1G/5 ML",FRASCO ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$86.04,27
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2121,SUBROGADA,HGMGG-LPN-01-2121,010.000.2142.00,02-01-0084,"CLORFENAMINA, 10 MG/1 ML",ÁMPULA,,CLORO-TRIMETON,$29.43,1120
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2122,SUBROGADA,HGMGG-LPN-01-2122,FCB,02-03-0018,"CLORURO DE BENZALCONIO, 100 G",TUBO,,COMBE DE MEXICO S DE R.L. DE C.V.,$24.44,1086
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2123,SUBROGADA,HGMGG-LPN-01-2123,010.000.0524.00  (50),02-01-0306,"CLORURO DE POTASIO, 1.49 MG/10 ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$1.82,10853
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2124,SUBROGADA,HGMGG-LPN-01-2124,010.000.5386.00  (100),02-01-0549,"CLORURO DE SODIO AL 17 %, 10 ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$10.86,929
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2125,SUBROGADA,HGMGG-LPN-01-2125,010.000.5865.00,02-01-0759,"COLISTIMETATO DE SODIO,  150 MG/2 ML",FRASCO ÁMPULA,,ESPECIFICOS STENDHAL SA DE CV,"$1,582.59",269
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2126,SUBROGADA,HGMGG-LPN-01-2126,FCB,02-01-0807,"DAPTOMICINA, 500 MG",FRASCO ÁMPULA,,"NOVARTIS FARMACEUTICA, S.A. DE C.V.","$4,375.00",0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2127,SUBROGADA,HGMGG-LPN-01-2127,010.000.0234.00,02-01-0666,"DESFLURANO, 240 ML",FRASCO,,SUPRANE,"$2,385.10",726
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2128,SUBROGADA,HGMGG-LPN-01-2128,010.000.5169.00,02-01-0292,"DESMOPRESINA, 15 MCG/ML",SOLUCIÓN,,"LABORATORIOS PISA, S.A. DE C.V.",$384.50,15
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2129,SUBROGADA,HGMGG-LPN-01-2129,FCB,02-01-0790,"DEXAMETASONA 1MG, TOBRAMICINA 3 MG, 3.5 G ",UNGÜENTO OFTÁLMICO (TUBO),,TRAZIDEX UNGENA,$495.65,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2130,SUBROGADA,HGMGG-LPN-01-2130,010.000.2176.00,02-01-0808,"DEXAMETASONA, 1MG/ML",FRASCO GOTERO,,DEXAFRIN OFTENO,$100.63,35
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2131,SUBROGADA,HGMGG-LPN-01-2131,010.000.4241.00,02-01-0094,"DEXAMETASONA, FOSFATO SODICO DE, 8 MG/2 ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$8.17,7403
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2132,SUBROGADA,HGMGG-LPN-01-2132,040.000.3215.00  (20),02-02-0046,"DIAZEPAM, 10 MG",TABLETA,,ORTOPSIQUE,$0.53,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2133,SUBROGADA,HGMGG-LPN-01-2133,040.000.0202.00  (50),02-02-0004,"DIAZEPAM, 10 MG/2ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$6.18,673
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2134,SUBROGADA,HGMGG-LPN-01-2134,010.000.3417.00,02-01-0519,"DICLOFENACO, 100 MG",TABLETA,,ARIFLAM,$0.44,25
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2135,SUBROGADA,HGMGG-LPN-01-2135,010.000.5501.00,02-01-0809,"DICLOFENACO, 75 MG/ 3 ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$7.38,8
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2136,SUBROGADA,HGMGG-LPN-01-2136,010.000.1927.00,02-01-0096,"DICLOXACILINA, 250 MG/ 5 ML",FRASCO ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$8.68,20
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2137,SUBROGADA,HGMGG-LPN-01-2137,FCB,02-01-0554,"DICLOXACILINA, 500 MG/5 ML",FRASCO ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$13.84,296
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2138,SUBROGADA,HGMGG-LPN-01-2138,010.000.3111.00  (30),02-01-0102,"DIFENIDOL, 25 MG",TABLETA,,LABORATORIOS HORMONA S.A. DE C.V.,$0.23,51
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2139,SUBROGADA,HGMGG-LPN-01-2139,010.000.3112.00  (2),02-01-0101,"DIFENIDOL, 40 MG/2 ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$4.89,359
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2140,SUBROGADA,HGMGG-LPN-01-2140,010.000.0502.00  (20),02-01-0106,"DIGOXINA, 0.25 MG",TABLETA,,VIDAXIL,$0.73,39
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2141,SUBROGADA,HGMGG-LPN-01-2141,010.000.0504.00  (6),02-01-0105,"DIGOXINA, 0.5 MG/2 ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$16.58,94
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2142,SUBROGADA,HGMGG-LPN-01-2142,010.000.2112.00,02-01-0409,"DILTIAZEM, 30 MG",TABLETA,,SERTIDEL,$2.20,366
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2143,SUBROGADA,HGMGG-LPN-01-2143,"010.000.4208.00
010.000.4208.01",02-01-0758,"DINOPROSTONA,  10 MG",ÓVULO,,PROPESS,"$3,267.55",0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2144,SUBROGADA,HGMGG-LPN-01-2144,010.000.0615.00  (5),02-01-0114,"DOBUTAMINA, 250 MG/20 ML",FRASCO ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$26.98,286
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2145,SUBROGADA,HGMGG-LPN-01-2145,010.000.0614.00  (5),02-01-0115,"DOPAMINA, 200 MG/5 ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$5.05,173
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2146,SUBROGADA,HGMGG-LPN-01-2146,010.000.1940.00  (10),02-01-0296,"DOXICICLINA, 100 MG",CÁPSULA,,ROXIDOLIN,$5.48,391
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2147,SUBROGADA,HGMGG-LPN-01-2147,040.000.2107.00  (100),02-02-0056,"EFEDRINA, 50 MG/2 ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$37.69,554
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2148,SUBROGADA,HGMGG-LPN-01-2148,010.000.3623.00  ,02-01-0117,ELECTROLITOS ORALES 27.9 G,SOBRE,,ELECTROLITOS APO,$4.16,166
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2149,SUBROGADA,HGMGG-LPN-01-2149,010.000.0611.00  (50),02-01-0119,"EPINEFRINA, 1 MG/ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$5.73,1965
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2150,SUBROGADA,HGMGG-LPN-01-2150,040.000.1544.00  (50),02-01-0180,"ERGONOVINA, 0.2 MG/ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$13.60,378
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2151,SUBROGADA,HGMGG-LPN-01-2151,040.000.2673.00,02-01-0337,ERGOTAMINA/CAFEINA 1 MG,COMPRIMIDO,,ERGOCAF,$16.94,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2152,SUBROGADA,HGMGG-LPN-01-2152,010.000.1971.00  (20),02-01-0598,"ERITROMICINA, 500 MG",TABLETA,,TROPHARMA,$4.08,122
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2153,SUBROGADA,HGMGG-LPN-01-2153,010.000.4301.00,02-01-0693,ERTAPENEM 1G.,FRASCO ÁMPULA,,INVANZ,"$2,166.67",1480
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2154,SUBROGADA,HGMGG-LPN-01-2154,010.000.5104.00,02-01-0415,ESMOLOL 100 MG./10 ML,FRASCO ÁMPULA,,ORPHA DEVEL HANDELS,"$4,166.67",0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2155,SUBROGADA,HGMGG-LPN-01-2155,010.000.5104.00  ,02-01-0810,"ESMOLOL, 2.5 G/10 ML",FRASCO ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.","$1,533.33",17
